Individual_ID,Age,Gender,Region,Location,Education_Level,Occupation,Employment_Type,Monthly_Income_NGN,Poverty_Status
8a61ea0b,6,Female,South East,Urban,Primary,Student,Not in Labor Force,0.0,1
dda4058f,46,Male,South West,Urban,Primary,Trade/Services,Informal,35516.1,1
a77f8728,50,Female,North West,Rural,Primary,Agriculture,Informal,49952.97,1
77530bfc,64,Male,South East,Rural,Secondary,Trade/Services,Self-employed,41902.41,1
fdbccc7a,4,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
7a556ab5,13,Male,North Central,Rural,None,Student,Not in Labor Force,0.0,1
d865955e,10,Male,South West,Rural,None,Student,Not in Labor Force,0.0,1
8a99565d,33,Male,South West,Urban,None,Informal,Informal,129828.67,0
e5f96099,45,Male,South West,Urban,Primary,Trade/Services,Informal,54822.91,1
9ea600aa,60,Male,South West,Urban,Secondary,Informal,Self-employed,125243.83,0
14250841,8,Male,North West,Urban,Primary,Student,Not in Labor Force,0.0,1
f0115bdf,70,Female,North Central,Rural,None,Agriculture,Informal,53994.74,1
cd5ea9de,31,Male,South West,Urban,Secondary,Informal,Self-employed,142881.68,0
806dd630,2,Female,North East,Rural,None,None,Not in Labor Force,0.0,1
024fdb1c,11,Male,North East,Rural,None,Student,Not in Labor Force,0.0,1
c7ff3e4c,3,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
92b14092,8,Female,North Central,Urban,Primary,Student,Not in Labor Force,0.0,1
f701b470,25,Male,South South,Urban,Secondary,Trade/Services,Self-employed,121326.17,0
6f69545a,36,Male,North East,Rural,None,Agriculture,Informal,33422.71,1
cee0ae75,3,Female,North Central,Rural,None,None,Not in Labor Force,0.0,1
954d0571,31,Female,South West,Urban,Primary,Informal,Informal,85045.36,1
65fe0d9e,7,Male,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
62398278,13,Male,South South,Urban,Secondary,Student,Not in Labor Force,0.0,1
abe9d6ea,10,Female,North East,Urban,None,Student,Not in Labor Force,0.0,1
491d7217,48,Female,South South,Rural,Primary,Informal,Informal,37174.1,1
44261b03,25,Male,North West,Urban,Tertiary,Trade/Services,Wage-employed,652611.92,0
d17bc998,14,Male,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
6aeeaad7,25,Male,North East,Rural,None,Agriculture,Informal,61972.63,1
7c486d26,52,Male,North East,Urban,Secondary,Manufacturing,Self-employed,71407.22,1
b59b8955,4,Male,South East,Urban,None,None,Not in Labor Force,0.0,1
ad2ad702,35,Male,North West,Urban,Primary,Informal,Informal,342533.73,0
e5f51589,13,Male,South West,Rural,Secondary,Student,Not in Labor Force,0.0,1
40919a7a,13,Male,North West,Urban,Secondary,Student,Not in Labor Force,0.0,1
6711e726,24,Female,South East,Urban,Secondary,Informal,Self-employed,360523.03,0
5b0c5330,90,Male,South East,Rural,Primary,Retired/None,Not in Labor Force,0.0,1
ca8fbff1,41,Male,North Central,Rural,Secondary,Informal,Self-employed,427659.92,0
d2358110,7,Male,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
aa4c519d,6,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
97a2fc4f,22,Female,North West,Urban,None,Informal,Informal,65792.61,1
ddffe053,22,Female,North West,Rural,Secondary,Trade/Services,Self-employed,59807.62,1
92d6241e,6,Male,South West,Rural,None,Student,Not in Labor Force,0.0,1
3e29cbe8,48,Female,South South,Urban,Primary,Informal,Informal,131124.1,0
ec53969d,10,Male,South South,Urban,Primary,Student,Not in Labor Force,0.0,1
1e24aa9a,30,Male,South West,Urban,Secondary,Trade/Services,Self-employed,259060.49,0
451844f3,8,Female,North Central,Urban,Primary,Student,Not in Labor Force,0.0,1
09cd6fcf,27,Female,South South,Urban,Secondary,Informal,Self-employed,149946.88,0
c05aa6d3,6,Female,North Central,Urban,None,Student,Not in Labor Force,0.0,1
3b8ed228,26,Female,North Central,Urban,Secondary,Informal,Self-employed,37712.84,1
7120e4c7,41,Female,South South,Urban,Secondary,Informal,Self-employed,73964.26,1
18d82d8f,14,Male,North West,Rural,Secondary,Student,Not in Labor Force,0.0,1
39326755,86,Male,North West,Urban,Primary,Retired/None,Not in Labor Force,0.0,1
7ce52c10,46,Male,South West,Urban,None,Informal,Informal,104141.18,0
5db9b857,63,Female,North West,Rural,Primary,Agriculture,Informal,40291.51,1
58bfd625,41,Male,North East,Urban,None,Informal,Informal,35631.8,1
d4c38bf3,16,Female,North Central,Rural,None,Informal,Informal,51297.98,1
062e572e,59,Male,North Central,Rural,Secondary,Trade/Services,Self-employed,14073.05,1
33572f93,0,Male,South South,Urban,None,None,Not in Labor Force,0.0,1
84c7001a,9,Male,North West,Urban,Primary,Student,Not in Labor Force,0.0,1
93264bab,11,Male,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
d1ae90ed,2,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
16d18ce6,10,Male,South West,Urban,None,Student,Not in Labor Force,0.0,1
73195f2c,4,Male,South West,Urban,None,None,Not in Labor Force,0.0,1
f7d6cf93,47,Male,North Central,Rural,None,Informal,Informal,41690.0,1
e0ce32bb,3,Male,North West,Rural,None,None,Not in Labor Force,0.0,1
d897c022,13,Male,South West,Urban,Secondary,Student,Not in Labor Force,0.0,1
f79022c4,59,Male,North Central,Rural,Primary,Agriculture,Informal,46368.98,1
c0091464,7,Female,North West,Urban,None,Student,Not in Labor Force,0.0,1
10981918,52,Male,North Central,Rural,None,Agriculture,Informal,72130.93,1
78c26628,12,Male,North Central,Urban,Secondary,Student,Not in Labor Force,0.0,1
58bb3f88,81,Female,South South,Rural,Tertiary,Retired/None,Not in Labor Force,0.0,1
dcf03e8b,58,Male,South East,Urban,None,Trade/Services,Informal,112259.98,0
9fb1b030,0,Male,South West,Urban,None,None,Not in Labor Force,0.0,1
03cf050f,2,Female,South South,Urban,None,None,Not in Labor Force,0.0,1
ab880a18,60,Male,South West,Urban,Primary,Trade/Services,Informal,101379.47,0
4a5d427d,40,Female,South South,Urban,Primary,Informal,Informal,138461.74,0
8b6727fa,45,Male,North West,Urban,Secondary,Trade/Services,Self-employed,120476.8,0
d409f7aa,22,Female,North Central,Urban,Primary,Informal,Informal,33747.01,1
6e37ecf9,10,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
633a02f9,10,Male,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
b74dcdc2,13,Male,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
c235e5a5,22,Male,North East,Rural,None,Agriculture,Informal,61483.04,1
77d87ec6,49,Male,North East,Rural,None,Agriculture,Informal,35408.23,1
82e1e135,6,Female,North East,Urban,None,Student,Not in Labor Force,0.0,1
43e54ef0,11,Female,North East,Urban,Primary,Student,Not in Labor Force,0.0,1
e86cba97,2,Male,North Central,Rural,None,None,Not in Labor Force,0.0,1
779f98ec,3,Female,South South,Rural,None,None,Not in Labor Force,0.0,1
721ed526,30,Male,South West,Urban,Secondary,Informal,Self-employed,59033.94,1
3682fff4,27,Female,South East,Urban,Secondary,Informal,Self-employed,188604.95,0
00c785da,34,Female,South South,Urban,Primary,Informal,Informal,34622.89,1
cca23666,19,Female,North Central,Urban,Tertiary,Professional,Wage-employed,602068.03,0
7e10abc3,6,Male,North East,Rural,Primary,Student,Not in Labor Force,0.0,1
5ccd88b1,51,Female,North West,Rural,Primary,Informal,Informal,27576.1,1
2b68ca56,34,Male,South South,Urban,Secondary,Trade/Services,Self-employed,111934.88,0
8d6b34c4,38,Female,North West,Rural,Primary,Informal,Informal,42684.3,1
e668918d,50,Male,South West,Rural,Primary,Agriculture,Informal,118437.06,0
6eb03472,48,Male,North East,Rural,None,Informal,Informal,85528.25,1
02ba23f0,59,Female,South South,Rural,None,Informal,Informal,36514.07,1
ceebe470,13,Female,North Central,Urban,Tertiary,Student,Not in Labor Force,0.0,1
cfe162c5,5,Male,South East,Rural,None,None,Not in Labor Force,0.0,1
9ef8ba04,1,Female,North East,Rural,None,None,Not in Labor Force,0.0,1
836c237b,2,Female,North East,Rural,None,None,Not in Labor Force,0.0,1
2b4320d7,31,Female,South West,Urban,Secondary,Informal,Self-employed,121229.77,0
3d88f9ec,4,Female,South South,Urban,None,None,Not in Labor Force,0.0,1
2df9c288,39,Male,North Central,Urban,Primary,Informal,Informal,179449.21,0
e708c2c3,32,Female,South South,Urban,Secondary,Informal,Self-employed,326378.09,0
3411df3f,11,Male,South East,Rural,None,Student,Not in Labor Force,0.0,1
d35fa323,6,Male,South East,Rural,Primary,Student,Not in Labor Force,0.0,1
f7b48282,64,Female,North Central,Rural,None,Agriculture,Informal,26336.59,1
8c096caf,7,Female,North East,Rural,None,Student,Not in Labor Force,0.0,1
bf8adabc,10,Female,North West,Rural,Primary,Student,Not in Labor Force,0.0,1
80fe840e,14,Female,South South,Urban,Secondary,Student,Not in Labor Force,0.0,1
f49f9d9f,12,Female,South South,Rural,Tertiary,Student,Not in Labor Force,0.0,1
a0fdce2e,27,Male,South West,Urban,Secondary,Trade/Services,Self-employed,293524.99,0
51a4f9c6,30,Female,North East,Rural,Primary,Agriculture,Informal,125968.7,0
2c3c4be5,36,Male,North West,Rural,Secondary,Informal,Self-employed,109882.61,0
3e93c482,34,Female,South South,Urban,Tertiary,Professional,Wage-employed,379095.7,0
647e3875,27,Female,North West,Rural,Primary,Agriculture,Informal,43033.69,1
71bfdd6d,3,Female,South East,Rural,None,None,Not in Labor Force,0.0,1
55028c2f,16,Male,North East,Rural,Secondary,Informal,Self-employed,46534.89,1
1f119a8d,49,Female,North Central,Rural,Primary,Agriculture,Informal,73377.0,1
7da04fdb,61,Female,South East,Rural,Secondary,Trade/Services,Self-employed,89140.23,1
67cd9512,33,Female,North West,Urban,None,Trade/Services,Informal,104919.88,0
068a78c2,12,Male,North East,Urban,Secondary,Student,Not in Labor Force,0.0,1
dc8d138d,4,Female,South South,Urban,None,None,Not in Labor Force,0.0,1
bd18092d,9,Female,South West,Urban,Primary,Student,Not in Labor Force,0.0,1
524ca6e3,5,Female,South East,Urban,None,None,Not in Labor Force,0.0,1
78c89fcf,20,Female,South East,Rural,Secondary,Trade/Services,Self-employed,129999.57,0
9c422b04,28,Male,North West,Rural,None,Agriculture,Informal,271235.05,0
fb9648ec,3,Male,North West,Rural,None,None,Not in Labor Force,0.0,1
b5e75719,36,Male,North Central,Urban,None,Trade/Services,Informal,165712.59,0
ebd382fd,2,Male,North East,Rural,None,None,Not in Labor Force,0.0,1
aea8c2df,6,Female,North Central,Rural,None,Student,Not in Labor Force,0.0,1
9d867a40,6,Male,South East,Urban,Primary,Student,Not in Labor Force,0.0,1
27fa1df4,3,Male,North West,Rural,None,None,Not in Labor Force,0.0,1
d1ecb044,48,Male,South West,Rural,Secondary,Informal,Self-employed,137056.7,0
971b9b6b,10,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
e20a5824,21,Male,North West,Rural,None,Agriculture,Informal,16611.04,1
26190d5a,17,Male,North Central,Rural,Secondary,Trade/Services,Self-employed,124914.61,0
acc022bf,14,Male,South East,Rural,Secondary,Student,Not in Labor Force,0.0,1
4c80ab18,65,Male,North West,Rural,None,Informal,Informal,154718.18,0
8772280c,66,Female,South West,Rural,None,Informal,Informal,46342.92,1
209e66f7,9,Male,South West,Rural,Primary,Student,Not in Labor Force,0.0,1
99c2dfd2,30,Female,North West,Urban,Primary,Informal,Informal,300862.49,0
69f42acf,8,Female,North Central,Rural,Primary,Student,Not in Labor Force,0.0,1
b8f657e3,11,Female,South South,Rural,Primary,Student,Not in Labor Force,0.0,1
781a0d39,14,Female,North Central,Rural,Tertiary,Student,Not in Labor Force,0.0,1
a65c3386,38,Female,North West,Urban,Secondary,Trade/Services,Self-employed,184668.69,0
dfdaf005,29,Male,South West,Urban,None,Informal,Informal,96445.46,1
69176284,14,Female,South West,Urban,Secondary,Student,Not in Labor Force,0.0,1
03d858de,13,Male,North West,Urban,Secondary,Student,Not in Labor Force,0.0,1
baa03793,28,Male,North West,Urban,None,Informal,Informal,44602.18,1
7c9b31a9,5,Female,North West,Rural,None,None,Not in Labor Force,0.0,1
b4e1cebe,13,Female,North West,Rural,None,Student,Not in Labor Force,0.0,1
7bfc95cb,31,Female,North East,Rural,Primary,Agriculture,Informal,147593.95,0
691c41cc,82,Female,North Central,Rural,Primary,Retired/None,Not in Labor Force,0.0,1
8d6187bc,3,Male,North East,Urban,None,None,Not in Labor Force,0.0,1
77dbc14c,31,Female,South South,Urban,Secondary,Informal,Self-employed,80953.01,1
ed473c3e,30,Male,South West,Rural,Secondary,Trade/Services,Self-employed,70359.69,1
8212f217,7,Male,South South,Urban,Primary,Student,Not in Labor Force,0.0,1
b510d666,53,Female,North Central,Urban,Secondary,Unemployed,Self-employed,43103.26,1
20ada994,3,Male,North West,Rural,None,None,Not in Labor Force,0.0,1
63cc394f,46,Female,North Central,Urban,Tertiary,Trade/Services,Wage-employed,685355.05,0
5ed01b08,58,Female,South East,Rural,Primary,Agriculture,Informal,85186.57,1
fd7475bb,23,Male,North West,Rural,Primary,Agriculture,Informal,60241.77,1
